track_id,is_dev,target_id,method_id,metric_id,target,method,metric,score,title,genre,filename
25,0,1,0,2,bass,CHA,SDR,4.166798894250103,Leaf - Wicked,Pop/Rock,25_CHA_bass.m4a
25,0,2,0,2,drums,CHA,SDR,3.4633424123226075,Leaf - Wicked,Pop/Rock,25_CHA_drums.m4a
25,0,3,0,2,other,CHA,SDR,0.4799731409517405,Leaf - Wicked,Pop/Rock,25_CHA_other.m4a
25,0,4,0,2,vocals,CHA,SDR,3.3169556075550437,Leaf - Wicked,Pop/Rock,25_CHA_vocals.m4a
26,0,0,0,2,accompaniment,CHA,SDR,2.5255960026217097,Louis Cressy Band - Good Time,Pop/Rock,26_CHA_accompaniment.m4a
26,0,1,0,2,bass,CHA,SDR,0.9898135695385948,Louis Cressy Band - Good Time,Pop/Rock,26_CHA_bass.m4a
26,0,2,0,2,drums,CHA,SDR,2.447161254792088,Louis Cressy Band - Good Time,Pop/Rock,26_CHA_drums.m4a
26,0,3,0,2,other,CHA,SDR,1.068869454391132,Louis Cressy Band - Good Time,Pop/Rock,26_CHA_other.m4a
26,0,4,0,2,vocals,CHA,SDR,0.37412582930229255,Louis Cressy Band - Good Time,Pop/Rock,26_CHA_vocals.m4a
27,0,0,0,2,accompaniment,CHA,SDR,3.3028746487257035,M.E.R.C. Music - Knockout,Rap,27_CHA_accompaniment.m4a
27,0,1,0,2,bass,CHA,SDR,-3.38805212733156,M.E.R.C. Music - Knockout,Rap,27_CHA_bass.m4a
27,0,2,0,2,drums,CHA,SDR,2.609786151201332,M.E.R.C. Music - Knockout,Rap,27_CHA_drums.m4a
27,0,3,0,2,other,CHA,SDR,1.07328192489035,M.E.R.C. Music - Knockout,Rap,27_CHA_other.m4a
27,0,4,0,2,vocals,CHA,SDR,0.8208061926327153,M.E.R.C. Music - Knockout,Rap,27_CHA_vocals.m4a
28,0,0,0,2,accompaniment,CHA,SDR,3.525605292141093,Motor Tapes - Shore,Pop/Rock,28_CHA_accompaniment.m4a
28,0,1,0,2,bass,CHA,SDR,3.351396610188506,Motor Tapes - Shore,Pop/Rock,28_CHA_bass.m4a
28,0,2,0,2,drums,CHA,SDR,1.372305773702876,Motor Tapes - Shore,Pop/Rock,28_CHA_drums.m4a
28,0,3,0,2,other,CHA,SDR,2.8144636099548763,Motor Tapes - Shore,Pop/Rock,28_CHA_other.m4a
28,0,4,0,2,vocals,CHA,SDR,-0.24671040525599486,Motor Tapes - Shore,Pop/Rock,28_CHA_vocals.m4a
29,0,0,0,2,accompaniment,CHA,SDR,3.6852643176044713,Nerve 9 - Pray For The Rain,Pop/Rock,29_CHA_accompaniment.m4a
29,0,1,0,2,bass,CHA,SDR,2.3754753468736447,Nerve 9 - Pray For The Rain,Pop/Rock,29_CHA_bass.m4a
29,0,2,0,2,drums,CHA,SDR,1.6048681489456336,Nerve 9 - Pray For The Rain,Pop/Rock,29_CHA_drums.m4a
29,0,3,0,2,other,CHA,SDR,1.4952227716471789,Nerve 9 - Pray For The Rain,Pop/Rock,29_CHA_other.m4a
29,0,4,0,2,vocals,CHA,SDR,-0.15521318483267665,Nerve 9 - Pray For The Rain,Pop/Rock,29_CHA_vocals.m4a
30,0,0,0,2,accompaniment,CHA,SDR,3.9950432125396538,Patrick Talbot - A Reason To Leave,Jazz,30_CHA_accompaniment.m4a
30,0,1,0,2,bass,CHA,SDR,1.5110196747638784,Patrick Talbot - A Reason To Leave,Jazz,30_CHA_bass.m4a
30,0,2,0,2,drums,CHA,SDR,3.6426416020947765,Patrick Talbot - A Reason To Leave,Jazz,30_CHA_drums.m4a
30,0,3,0,2,other,CHA,SDR,0.9704763451763176,Patrick Talbot - A Reason To Leave,Jazz,30_CHA_other.m4a
30,0,4,0,2,vocals,CHA,SDR,2.9386876453413766,Patrick Talbot - A Reason To Leave,Jazz,30_CHA_vocals.m4a
31,0,0,0,2,accompaniment,CHA,SDR,4.843670354000532,Phre The Eon - Everybody's Falling Apart,Pop/Rock,31_CHA_accompaniment.m4a
